"user_id,""activity_date"",""game_activity_name"",""total_seconds"""
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-17"",game 2: Mini-games,333"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-05"",game 2: Clan activities,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-21"",game 2: Clan activities,4"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-19"",game 2: Clan activities,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-22"",game 2: Clan activities,10"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-14"",game 2: Battle pass challenges,112"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-23"",game 2: Battle pass challenges,529"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-24"",game 2: Battle pass challenges,962"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-25"",game 2: Battle pass challenges,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-28"",game 2: Battle pass challenges,35"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-08"",game 2: Battle pass challenges,170"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-09"",game 2: Battle pass challenges,206"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-02"",game 2: Battle pass challenges,73"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-13"",game 2: Battle pass challenges,4278"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-25"",game 2: Battle pass challenges,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-02"",game 2: Campaign,112"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-05"",game 2: Campaign,1009"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-11"",game 2: Campaign,90"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-06"",game 2: Campaign,7"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-25"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-14"",game 2: Campaign,174"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-19"",game 2: Campaign,97"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-30"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-23"",game 2: Campaign,45"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-06"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-16"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-06"",game 2: Special events and challenges,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-15"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-28"",game 2: Special events and challenges,495"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-29"",game 2: Special events and challenges,1045"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-01"",game 2: Special events and challenges,328"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-09"",game 2: Special events and challenges,501"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-10"",game 2: Special events and challenges,780"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-15"",game 2: Special events and challenges,1310"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-22"",game 2: Special events and challenges,138"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-20"",game 2: Special events and challenges,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-25"",game 2: Special events and challenges,2058"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-29"",game 2: Special events and challenges,61"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-11"",game 2: Special events and challenges,9"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-19"",game 2: Special events and challenges,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-25"",game 2: Mini-games,97"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-13"",game 2: Mini-games,311"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-07"",game 2: Mini-games,114"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-08"",game 2: Clan activities,36"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-12"",game 2: Clan activities,243"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-22"",game 2: Clan activities,10"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-30"",game 2: Clan activities,72"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-04"",game 2: Clan activities,221"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-06"",game 2: Clan activities,90"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-11"",game 2: Clan activities,43"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-25"",game 2: Clan activities,49"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-07"",game 2: Clan activities,28"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-29"",game 2: Battle pass challenges,1941"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-07"",game 2: Battle pass challenges,265"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-15"",game 2: Battle pass challenges,566"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-18"",game 2: Battle pass challenges,5"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-25"",game 2: Battle pass challenges,784"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-04"",game 2: Battle pass challenges,347"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-11"",game 2: Battle pass challenges,645"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-15"",game 2: Battle pass challenges,1140"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-18"",game 2: Battle pass challenges,7095"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-19"",game 2: Battle pass challenges,219"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-04"",game 2: Campaign,19"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-16"",game 2: Campaign,121"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-05"",game 2: Campaign,5"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-20"",game 2: Campaign,698"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-21"",game 2: Campaign,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-28"",game 2: Campaign,13"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-02"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-16"",game 2: Campaign,23"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-18"",game 2: Campaign,47"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-21"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-27"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-01"",game 2: Campaign,25"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-05"",game 2: Campaign,20"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-06"",game 2: Campaign,175"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-09"",game 2: Campaign,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-10"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-22"",game 2: Campaign,9"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-23"",game 2: Campaign,9"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-29"",game 2: Campaign,470"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-02"",game 2: Campaign,144"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-08"",game 2: Campaign,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-11"",game 2: Campaign,18"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-14"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-21"",game 2: Campaign,48"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-22"",game 2: Campaign,96"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-20"",game 2: Campaign,43"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-11"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-27"",game 2: Special events and challenges,2564"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-30"",game 2: Special events and challenges,422"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-11"",game 2: Special events and challenges,1887"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-25"",game 2: Special events and challenges,357"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-09"",game 2: Special events and challenges,647"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-23"",game 2: Special events and challenges,2248"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-04"",game 2: Special events and challenges,3575"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-26"",game 2: Special events and challenges,1194"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-30"",game 2: Mini-games,188"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-04"",game 2: Mini-games,73"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-15"",game 2: Clan activities,331"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-25"",game 2: Clan activities,1491"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-05"",game 2: Clan activities,564"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-24"",game 2: Clan activities,12"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-15"",game 2: Clan activities,71"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-24"",game 2: Clan activities,177"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-26"",game 2: Clan activities,81"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-28"",game 2: Battle pass challenges,722"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-16"",game 2: Battle pass challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-20"",game 2: Battle pass challenges,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-27"",game 2: Battle pass challenges,2384"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-19"",game 2: Battle pass challenges,484"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-26"",game 2: Battle pass challenges,963"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-01"",game 2: Battle pass challenges,33"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-22"",game 2: Battle pass challenges,2035"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-24"",game 2: Battle pass challenges,260"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-03"",game 2: Campaign,16"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-17"",game 2: Campaign,30"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-18"",game 2: Campaign,17"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-03"",game 2: Campaign,1007"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-20"",game 2: Campaign,12"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-23"",game 2: Campaign,12"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-07"",game 2: Campaign,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-08"",game 2: Campaign,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-08"",game 2: Special events and challenges,13"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-12"",game 2: Special events and challenges,8"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-05"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-21"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-07"",game 2: Special events and challenges,1369"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-18"",game 2: Special events and challenges,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-21"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-28"",game 2: Special events and challenges,212"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-24"",game 2: Special events and challenges,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-20"",game 2: Mini-games,284"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-24"",game 2: Mini-games,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-16"",game 2: Mini-games,693"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-17"",game 2: Clan activities,4"
