"user_id","game_name","first_month","last_month","payment_month","active_in_month","isnewuser","ischurned","isbackfromchurn","revenue","mrr","mrr_expansion","mrr_contraction","new_mrr","churn_revenue","back_from_churn_rev","language","age","has_older_device_model"
mEtO8F+CRPGmaJ8SHa7BbA==,game 3,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,1,0,22.14,22.14,0,-9.03,0,-22.14,0,uk,32,false
MJrNeNCAIVBe/OSRGhrelw==,game 3,2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,1,1,1,0,69.78,0,0,0,69.78,-69.78,0,uk,21,true
MjzYQ3OFStqCMS3HzrxA2g==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,1,1,0,15.33,0,0,0,15.33,-15.33,0,ru,27,false
MjzYQ3OFStqCMS3HzrxA2g==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,1,21.45,0,0,0,0,0,21.45,ru,27,false
MjzYQ3OFStqCMS3HzrxA2g==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,12.72,12.72,0,-8.73,0,-12.72,0,ru,27,false
mq7MyR1XHK5rM4mgtKjsgg==,game 3,2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,1,1,1,0,12.51,0,0,0,12.51,-12.51,0,uk,40,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,1,1,0,0,37.98,0,0,0,37.98,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-06-01 00:00:00.000 +0300,1,0,0,0,23.4,23.4,0,-14.58,0,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,1,0,0,0,14.73,14.73,0,-8.67,0,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,0,0,0,26.13,26.13,11.40,0,0,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,0,0,0,14.67,14.67,0,-11.46,0,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,0,32.10,32.10,17.43,0,0,0,0,uk,32,false
MRcEXu/KG95hsIyJM/816A==,game 3,2022-05-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,1,0,37.92,37.92,5.82,0,0,-37.92,0,uk,32,false
mRT725ZK68AhE3Sk9xH5cw==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,1,0,0,43.68,0,0,0,43.68,0,0,ru,29,false
mRT725ZK68AhE3Sk9xH5cw==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,17.28,17.28,0,-26.40,0,0,0,ru,29,false
mRT725ZK68AhE3Sk9xH5cw==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,50.28,50.28,33.00,0,0,-50.28,0,ru,29,false
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,1,0,0,68.43,0,0,0,68.43,0,0,uk,14,false
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,0,0,0,27.54,27.54,0,-40.89,0,0,0,uk,14,false
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,0,68.58,68.58,41.04,0,0,0,0,uk,14,false
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,28.08,28.08,0,-40.50,0,0,0,uk,14,false
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,32.22,32.22,4.14,0,0,-32.22,0,uk,14,false
mTha7D/MRe45dQaUAEKV3g==,game 3,2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,1,1,1,0,14.73,0,0,0,14.73,-14.73,0,uk,42,false
mXihLMwkG8RgO1jsFnJXnA==,game 3,2022-08-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,1,1,0,0,12.75,0,0,0,12.75,0,0,uk,32,false
mXihLMwkG8RgO1jsFnJXnA==,game 3,2022-08-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,1,0,1,0,26.31,26.31,13.56,0,0,-26.31,0,uk,32,false
mY631USB1Y3/I1dHNhoEyA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,1,0,0,15.3,0,0,0,15.3,0,0,uk,22,false
mY631USB1Y3/I1dHNhoEyA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,36.36,36.36,21.06,0,0,-36.36,0,uk,22,false
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,1,0,0,77.70,0,0,0,77.70,0,0,ru,16,false
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,42.57,42.57,0,-35.13,0,0,0,ru,16,false
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,25.74,25.74,0,-16.83,0,-25.74,0,ru,16,false
n8oSWohH4Vi8muIgqbRC+Q==,game 3,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,1,1,0,26.7,0,0,0,26.7,-26.7,0,uk,14,false
NBaV27MmzBu99zAeNFSjUA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,1,0,0,12.6,0,0,0,12.6,0,0,uk,26,false
NBaV27MmzBu99zAeNFSjUA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,13.38,13.38,0.78,0,0,-13.38,0,uk,26,false
nfIwLLLuemHymdg1HYidrA==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,1,0,0,72.78,0,0,0,72.78,0,0,uk,19,false
nfIwLLLuemHymdg1HYidrA==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,64.50,64.50,0,-8.28,0,0,0,uk,19,false
nfIwLLLuemHymdg1HYidrA==,game 3,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,13.92,13.92,0,-50.58,0,-13.92,0,uk,19,false
ngOdQ8biXsraLxTHS862fw==,game 3,2022-07-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,1,1,1,0,13.92,0,0,0,13.92,-13.92,0,ru,25,false
ni2+3lFt9yVqbt5Vtc8BMQ==,game 3,2022-07-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,1,1,1,0,17.76,0,0,0,17.76,-17.76,0,uk,18,false
njexPkl3G77JLZwwcq2UVA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,1,0,0,28.08,0,0,0,28.08,0,0,uk,28,false
njexPkl3G77JLZwwcq2UVA==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,18.03,18.03,0,-10.05,0,-18.03,0,uk,28,false
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-04-01 00:00:00.000 +0300,1,1,0,0,19.11,0,0,0,19.11,0,0,ru,20,true
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,1,0,1,0,40.62,40.62,21.51,0,0,-40.62,0,ru,20,true
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,0,1,1,42.84,0,0,0,0,-42.84,42.84,ru,20,true
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,1,30.57,0,0,0,0,0,30.57,ru,20,true
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-04-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,1,0,31.08,31.08,0.51,0,0,-31.08,0,ru,20,true
NMmQVq8bB84KydONJjvTfQ==,game 3,2022-03-01 00:00:00.000 +0200,2022-03-01 00:00:00.000 +0200,2022-03-01 00:00:00.000 +0200,1,1,1,0,15.33,0,0,0,15.33,-15.33,0,uk,18,true
NntDesROB4ANrudTCXEScA==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-07-01 00:00:00.000 +0300,1,1,1,0,39.12,0,0,0,39.12,-39.12,0,ru,37,false
NntDesROB4ANrudTCXEScA==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,1,47.79,0,0,0,0,0,47.79,ru,37,false
NntDesROB4ANrudTCXEScA==,game 3,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,1,0,27.63,27.63,0,-20.16,0,-27.63,0,ru,37,false
nNZDz4XCOjUv0OfYF+AAGg==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,1,1,0,40.38,0,0,0,40.38,-40.38,0,uk,25,false
nNZDz4XCOjUv0OfYF+AAGg==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,1,18.39,0,0,0,0,0,18.39,uk,25,false
nNZDz4XCOjUv0OfYF+AAGg==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,65.64,65.64,47.25,0,0,-65.64,0,uk,25,false
